empid,name,salary,salary_date
1,Sandy Robinson,144433.2,2024-11-07
2,Christopher Miller,113170.86,2025-03-24
3,Elizabeth Ramirez,123827.39,2025-07-17
4,Sherri Moran,77457.48,2025-05-28
5,Amy Gillespie,41769.03,2025-06-01
6,Rebekah Stephens,97548.94,2025-06-23
7,Aaron Wong,114126.98,2025-07-16
8,Michael Sanders,67937.13,2025-07-21
9,Melissa Brown,48857.8,2025-07-15
10,Scott Grimes,74021.9,2025-03-23
11,Kristin Gibson,71942.64,2025-08-20
12,Veronica Cline,83006.77,2025-03-24
13,Sarah Prince,111731.04,2025-03-01
14,Savannah Garcia,123807.27,2025-04-08
15,Todd Ellis,51915.09,2025-08-16
16,Veronica Anderson,53004.3,2025-10-07
17,Jonathon Miller,46944.14,2025-09-10
18,Arthur Barnes,83644.09,2025-01-13
19,Allison Salazar,135938.9,2024-11-28
20,Leslie Flynn,45432.71,2025-08-22
21,Angela Watts,54397.95,2024-12-04
22,Karen Rasmussen,104223.52,2025-09-04
23,Lauren Vargas,122232.1,2024-11-09
24,Andrea Wilson,135868.5,2025-01-22
25,Brianna Haas,98586.75,2025-09-13
26,Lisa Jackson,49960.44,2024-11-05
27,James Rios,87779.66,2025-08-03
28,Michael Glass,33172.68,2024-12-14
29,Jerry Crane,105155.35,2025-08-07
30,Cathy Murphy,126652.87,2025-09-16
31,Patrick Ponce,85344.61,2025-07-13
32,Stephanie Atkins,76049.54,2024-10-15
33,Mia Spence,31845.59,2025-03-09
34,Lori Hernandez,92762.95,2025-02-07
35,Ann Cook,76512.97,2024-11-07
36,Jasmine Smith,61838.79,2024-10-27
37,Sarah Gonzalez,96587.91,2025-07-09
38,Joseph Silva,106236.74,2025-07-24
39,Benjamin Steele,52036.51,2024-11-11
40,Victoria Bautista,61694.7,2025-01-17
41,Jeffrey Rubio,40579.2,2025-10-09
42,Gary Gomez,37595.51,2025-07-20
43,Garrett Cruz,47702.0,2025-08-08
44,Sophia Dixon,125703.09,2025-05-05
45,Melissa Sullivan,97075.34,2025-01-20
46,Sherry Gay,47350.56,2025-07-16
47,Jonathan Miranda,92930.15,2024-11-20
