empid,name,salary,salary_date
1,Terry Vance,70347.21,2024-10-24
2,Karen Hunt,136487.98,2025-03-03
3,Connie Davis,30573.71,2025-07-25
4,Elizabeth Lopez,59719.63,2025-02-25
5,Michael Malone,104734.17,2025-06-28
6,Amanda Perkins,93133.52,2025-09-01
7,Jason Obrien,66391.34,2024-11-10
8,Danielle Giles,79836.0,2025-09-10
9,Elizabeth Boone,107410.97,2025-07-02
10,James Hutchinson,57903.89,2025-09-26
11,Andre Turner,80581.09,2024-12-24
12,Samuel Freeman,119885.14,2025-02-08
13,Jamie Smith,93727.83,2025-01-02
14,Briana Hansen,107448.4,2025-03-17
15,Heather Lee,56263.59,2025-04-28
16,Maurice Key,91760.97,2025-04-12
17,Philip Tate,146922.01,2025-03-17
18,Shannon Fitzgerald,39519.78,2025-08-28
19,George Walker Jr.,46894.67,2025-10-10
20,Jeffrey Woodard,57745.01,2025-03-13
21,Michael Smith,132384.37,2025-07-29
22,Kathy Austin,84884.01,2025-03-16
23,Robert Scott,129528.04,2025-02-02
24,Patricia Moore,50394.6,2024-12-04
25,Bridget Martinez,138501.51,2025-07-08
26,Corey Hall,147025.17,2024-11-16
27,Deborah Duncan,148823.31,2025-06-19
28,Jo Randolph,37391.98,2025-04-22
29,Christine Fuller,106408.63,2025-05-31
30,Sabrina Myers,91389.14,2025-05-10
31,Robert Torres,82230.69,2025-05-24
32,Maria Jackson,77585.05,2024-12-16
33,Mark Russell,143168.66,2025-05-23
34,Danielle Austin,109311.0,2025-08-21
35,Melissa Jones,73773.46,2025-03-24
36,Mary Bradford,39941.14,2025-04-29
37,Diane Bradley,40357.52,2025-06-02
38,Michael Byrd,71772.51,2025-07-28
39,Laura Flores,82325.31,2025-06-24
40,Sarah Jackson,92498.82,2025-03-31
41,Erin Garcia,51357.01,2025-10-11
42,George Small,123171.12,2025-04-17
43,Robert Watson,115756.05,2024-11-13
44,Fernando Cox,119652.58,2025-03-11
45,Michael Marks,42433.27,2025-06-21
46,Adam Massey,142447.68,2025-01-15
47,Virginia Jackson,127735.44,2025-05-29
48,Jennifer Armstrong,92289.45,2025-08-04
49,Angela Bernard,39912.16,2025-03-21
50,Christopher Lynn,33863.03,2025-03-09
51,Scott Miles,109879.52,2025-09-07
52,Chris Sellers DVM,42481.22,2025-02-01
53,Jennifer Ortiz,148590.62,2024-11-05
54,Carl Nelson,73120.03,2025-01-22
55,Paula Stone,102961.45,2025-09-28
56,Katherine Montgomery,72475.36,2025-05-28
57,John Nixon,45119.37,2025-02-01
58,Jack Lang,56382.83,2025-07-30
59,Joseph Gilmore,101328.97,2025-09-18
60,Margaret Castillo,145397.54,2025-04-10
61,Dana Morris,94841.27,2025-03-24
62,Susan Lindsey,46071.66,2025-06-09
63,Christopher Thompson,61551.87,2025-10-10
64,Erica Travis,103186.12,2025-06-21
65,Meagan Barrett,80032.74,2025-05-04
66,Ashlee Short,125384.49,2025-08-29
67,Mark Middleton,78878.43,2024-12-29
68,Jon Hartman,139078.86,2025-07-13
69,Erin Calhoun,64588.19,2025-08-24
70,Heather Gallegos,69792.4,2025-09-03
71,Sharon Martinez,95921.97,2025-09-26
72,Evan Gomez,93991.92,2024-12-27
73,Michael Espinoza,125686.84,2025-03-15
74,Justin Miller,85224.64,2024-12-09
75,Chelsey Johnson,61792.01,2024-11-05
76,Christine Dennis,95255.7,2025-08-06
77,Richard Smith,102013.96,2025-09-18
78,Jeffrey Brown,132185.81,2025-01-01
79,Daniel Jones,122685.89,2025-05-01
80,Kristin Butler,107422.52,2025-06-01
81,Derek Marshall,35885.28,2025-04-10
82,Kevin Hooper,69899.09,2025-09-10
83,Jessica Bryant,99451.2,2025-03-30
84,Rodney Gonzalez DDS,112790.86,2024-10-19
85,Samantha Ellis,67013.12,2024-12-24
86,Jason Mcdonald,118274.15,2025-03-14
87,Kyle Conley,84361.25,2025-06-13
88,Megan Johns,142605.14,2025-08-02
89,Heather Henry,79632.73,2025-06-26
90,Sara Richardson,88552.5,2025-01-20
91,Nicholas Jones,51370.47,2025-10-02
92,Melanie Miller DVM,102089.74,2025-04-18
93,Anthony Parrish,85182.66,2025-01-08
94,Diana Gutierrez,86569.64,2025-01-13
95,Douglas Fisher,111352.6,2025-09-18
96,Heather West,36245.38,2025-04-28
97,Kevin Zhang,55142.75,2025-03-08
98,Timothy Baker,144565.67,2024-12-03
99,Lauren Jones,40211.82,2025-05-26
100,Christopher Rogers,114878.29,2024-11-22
101,Jose Baker,126912.0,2025-05-13
102,Jon Atkins,50250.51,2025-02-03
103,Mark Garcia,104204.47,2025-09-17
104,Kim Green,98367.04,2025-05-24
105,Elizabeth Welch,91497.57,2025-07-21
106,Karen Hernandez,106609.5,2025-08-19
107,Allison Moore,52206.82,2025-10-06
108,Laurie Jimenez,73971.3,2025-01-23
109,Mrs. Courtney Massey,111370.97,2025-06-25
